Company,Country,Patent (Raw),Patent (Cleaned),Ambiguous
Dolby Laboratories Licensing Corporation,BW,AP 6125,AP6125,False
Dolby Laboratories Licensing Corporation,BW,AP 6941,AP6941,False
Dolby Laboratories Licensing Corporation,BW,AP 7595,AP7595,False
Dolby Laboratories Licensing Corporation,BW,AP 7968,AP7968,False
Dolby Laboratories Licensing Corporation,BY,EA 039463,EA039463,False
Dolby Laboratories Licensing Corporation,BY,EA 042523,EA042523,False
Dolby Laboratories Licensing Corporation,BY,EA 042564,EA042564,False
Dolby Laboratories Licensing Corporation,BY,EA 044734,EA044734,False
Dolby Laboratories Licensing Corporation,BY,EA 047543,EA047543,False
Dolby Laboratories Licensing Corporation,BY,EA 048261,EA048261,False
Dolby Laboratories Licensing Corporation,BY,EA 048724,EA048724,False
Dolby Laboratories Licensing Corporation,BY,EA 050028,EA050028,False
Dolby Laboratories Licensing Corporation,BY,EA 052026,EA052026,False
Dolby Laboratories Licensing Corporation,CA,"CA 2,933,940",CA2933940,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,006,841",CA3006841,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,039,361",CA3039361,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,112,712",CA3112712,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,114,379",CA3114379,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,114,448",CA3114448,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,187,271",CA3187271,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,198,207",CA3198207,False
Dolby Laboratories Licensing Corporation,CA,"CA 3,198,226",CA3198226,False
Dolby Laboratories Licensing Corporation,CF,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,CG,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,CH,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,CH,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,CH,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,CI,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,CL,"CL 63,859",CL63859,False
Dolby Laboratories Licensing Corporation,CM,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,CN,CN 102100074,CN102100074,False
Dolby Laboratories Licensing Corporation,CN,CN 102301715,CN102301715,False
Dolby Laboratories Licensing Corporation,CN,CN 103563347,CN103563347,False
Dolby Laboratories Licensing Corporation,CN,CN 103873738,CN103873738,False
Dolby Laboratories Licensing Corporation,CN,CN 105357509,CN105357509,False
Dolby Laboratories Licensing Corporation,CN,CN 105357510,CN105357510,False
Dolby Laboratories Licensing Corporation,CN,CN 105357533,CN105357533,False
Dolby Laboratories Licensing Corporation,CN,CN 105357534,CN105357534,False
Dolby Laboratories Licensing Corporation,CN,CN 105376549,CN105376549,False
Dolby Laboratories Licensing Corporation,CN,CN 105407341,CN105407341,False
Dolby Laboratories Licensing Corporation,CN,CN 105472369,CN105472369,False
Dolby Laboratories Licensing Corporation,CN,CN 105791861,CN105791861,False
Dolby Laboratories Licensing Corporation,CN,CN 105915753,CN105915753,False
Dolby Laboratories Licensing Corporation,CN,CN 105915754,CN105915754,False
Dolby Laboratories Licensing Corporation,CN,CN 105915755,CN105915755,False
Dolby Laboratories Licensing Corporation,CN,CN 106095351,CN106095351,False
Dolby Laboratories Licensing Corporation,CN,CN 106095352,CN106095352,False
Dolby Laboratories Licensing Corporation,CN,CN 106095353,CN106095353,False
Dolby Laboratories Licensing Corporation,CN,CN 106095354,CN106095354,False
Dolby Laboratories Licensing Corporation,CN,CN 106095355,CN106095355,False
Dolby Laboratories Licensing Corporation,CN,CN 106095356,CN106095356,False
Dolby Laboratories Licensing Corporation,CN,CN 106095358,CN106095358,False
Dolby Laboratories Licensing Corporation,CN,CN 109937572,CN109937572,False
Dolby Laboratories Licensing Corporation,CN,CN 110267046,CN110267046,False
Dolby Laboratories Licensing Corporation,CN,CN 111971964,CN111971964,False
Dolby Laboratories Licensing Corporation,CN,CN 114666594,CN114666594,False
Dolby Laboratories Licensing Corporation,CN,CN 114666595,CN114666595,False
Dolby Laboratories Licensing Corporation,CN,CN 114666596,CN114666596,False
Dolby Laboratories Licensing Corporation,CN,CN 114666597,CN114666597,False
Dolby Laboratories Licensing Corporation,CN,CN 114666598,CN114666598,False
Dolby Laboratories Licensing Corporation,CN,CN 114666599,CN114666599,False
Dolby Laboratories Licensing Corporation,CN,CN 114845109,CN114845109,False
Dolby Laboratories Licensing Corporation,CN,CN 114845110,CN114845110,False
Dolby Laboratories Licensing Corporation,CN,CN 114845111,CN114845111,False
Dolby Laboratories Licensing Corporation,CN,CN 115702564,CN115702564,False
Dolby Laboratories Licensing Corporation,CN,CN 116582673,CN116582673,False
Dolby Laboratories Licensing Corporation,CN,CN 116582675,CN116582675,False
Dolby Laboratories Licensing Corporation,CN,CN 116582676,CN116582676,False
Dolby Laboratories Licensing Corporation,CN,CN 116614634,CN116614634,False
Dolby Laboratories Licensing Corporation,CN,CN 116668696,CN116668696,False
Dolby Laboratories Licensing Corporation,CN,CN 116744010,CN116744010,False
Dolby Laboratories Licensing Corporation,CN,CN 116744011,CN116744011,False
Dolby Laboratories Licensing Corporation,CN,CN 117014611,CN117014611,False
Dolby Laboratories Licensing Corporation,CN,CN 117478882,CN117478882,False
Dolby Laboratories Licensing Corporation,CO,CO 39273,CO39273,False
Dolby Laboratories Licensing Corporation,CO,CO 41016,CO41016,False
Dolby Laboratories Licensing Corporation,CO,CO 42394,CO42394,False
Dolby Laboratories Licensing Corporation,CY,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,CY,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,CY,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,CY,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,CZ,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,CZ,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,CZ,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,DE,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,DE,"EP 2,716,028",EP2716028,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,DE,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,DE,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,DK,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,DK,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,DK,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,EE,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,EE,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,ES,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,ES,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,ES,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,FI,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,FI,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,FR,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,FR,"EP 2,716,028",EP2716028,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,FR,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,FR,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,GA,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,GB,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,GB,"EP 2,716,028",EP2716028,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,GB,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,GB,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,GH,AP 6125,AP6125,False
Dolby Laboratories Licensing Corporation,GH,AP 6941,AP6941,False
Dolby Laboratories Licensing Corporation,GH,AP 7595,AP7595,False
Dolby Laboratories Licensing Corporation,GH,AP 7968,AP7968,False
Dolby Laboratories Licensing Corporation,GM,AP 6125,AP6125,False
Dolby Laboratories Licensing Corporation,GM,AP 6941,AP6941,False
Dolby Laboratories Licensing Corporation,GM,AP 7595,AP7595,False
Dolby Laboratories Licensing Corporation,GM,AP 7968,AP7968,False
Dolby Laboratories Licensing Corporation,GN,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,GQ,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,GR,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,GR,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,GR,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,GR,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,GR,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,GR,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,GR,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,GW,OA 19660,OA19660,False
Dolby Laboratories Licensing Corporation,HK,HK 1191778,HK1191778,False
Dolby Laboratories Licensing Corporation,HK,HK 1198088,HK1198088,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,220,301",HK1220301,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,220,303",HK1220303,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,220,563",HK1220563,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,220,564",HK1220564,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,221,360",HK1221360,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,221,361",HK1221361,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,222,495",HK1222495,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,227,201",HK1227201,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,227,202",HK1227202,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,227,590",HK1227590,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,229,922",HK1229922,False
Dolby Laboratories Licensing Corporation,HK,HK 1231191,HK1231191,False
Dolby Laboratories Licensing Corporation,HK,HK 1231192,HK1231192,False
Dolby Laboratories Licensing Corporation,HK,HK 1231193,HK1231193,False
Dolby Laboratories Licensing Corporation,HK,"HK 1,231,195",HK1231195,False
Dolby Laboratories Licensing Corporation,HK,HK 1231196,HK1231196,False
Dolby Laboratories Licensing Corporation,HK,HK 40010357,HK40010357,False
Dolby Laboratories Licensing Corporation,HK,HK 40010382,HK40010382,False
Dolby Laboratories Licensing Corporation,HK,HK 40010573,HK40010573,False
Dolby Laboratories Licensing Corporation,HK,HK 40012966,HK40012966,False
Dolby Laboratories Licensing Corporation,HK,HK 40035149,HK40035149,False
Dolby Laboratories Licensing Corporation,HK,HK 40041880,HK40041880,False
Dolby Laboratories Licensing Corporation,HK,HK 40049320,HK40049320,False
Dolby Laboratories Licensing Corporation,HK,HK 40049879,HK40049879,False
Dolby Laboratories Licensing Corporation,HK,HK 40067049,HK40067049,False
Dolby Laboratories Licensing Corporation,HK,HK 40069190,HK40069190,False
Dolby Laboratories Licensing Corporation,HK,HK 40069255,HK40069255,False
Dolby Laboratories Licensing Corporation,HK,HK 40069256,HK40069256,False
Dolby Laboratories Licensing Corporation,HK,HK 40085735,HK40085735,False
Dolby Laboratories Licensing Corporation,HK,HK 40090617,HK40090617,False
Dolby Laboratories Licensing Corporation,HK,HK 40090947,HK40090947,False
Dolby Laboratories Licensing Corporation,HK,HK 40091904,HK40091904,False
Dolby Laboratories Licensing Corporation,HK,HK 40098573,HK40098573,False
Dolby Laboratories Licensing Corporation,HK,HK 40112223,HK40112223,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,HR,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,150,909",EP4150909,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,155,898",EP4155898,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,160,385",EP4160385,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,236,325",EP4236325,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,300,974",EP4300974,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,472,202",EP4472202,False
Dolby Laboratories Licensing Corporation,HR,"EP 4,472,203",EP4472203,False
Dolby Laboratories Licensing Corporation,HU,"EP 2,308,239",EP2308239,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,079,055",EP3079055,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,514,677",EP3514677,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,523,970",EP3523970,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,595,281",EP3595281,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,742,715",EP3742715,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,800,542",EP3800542,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,800,543",EP3800543,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,850,847",EP3850847,False
Dolby Laboratories Licensing Corporation,HU,"EP 3,974,956",EP3974956,False
Dolby Laboratories Licensing Corporation,HU,"EP 4,009,620 C0",EP4009620C0,False
Dolby Laboratories Licensing Corporation,HU,"EP 4,064,706",EP4064706,False
Dolby Laboratories Licensing Corporation,HU,"EP 4,072,137",EP4072137,False
Dolby Laboratories Licensing Corporation,HU,"EP 4,137,929",EP4137929,False
Dolby Laboratories Licensing Corporation,HU,"EP 4,150,909",EP4150909,False
